grower_id,Delivered,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL ,Lot Pack Out,Pack Out %,"Useable 
w 3 % Allow"
,,,,,,,,,,,,
,10/20/2017,LP5,"4,744",6423,4.3,0,30,ST,"39,000","37,174",95.32%,"37,174"
,,,,,,,,,,,,
,10/21/2017,LP4 C,"4,749",6428,2.53,0,34,ST,"50,580","48,525",95.94%,"48,525"
,,,,,,,,,,,,
,Deca01,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,10/21/2017,LP4 C,"4,749",6437,2.53,0,34,ST,"37,980","36,437",95.94%,"36,437"
,,,,,,,,,,,,
,10/21/2017,LP4 C,"4,753",6433,2.16,0,37,ST,"50,340","48,072",95.49%,"48,072"
,,,,,,,,,,,,
,10/23/2017,LP8,"4,760",6443,2.78,0,28,HO,"47,880","46,079",96.24%,"46,079"
,,,,,,,,,,,,
,10/23/2017,LP8,"4,760",6444,2.78,0,28,HO,"49,800","47,927",96.24%,"47,927"
,,,,,,,,,,,,
,10/23/2017,LP8,"4,760",6445,2.78,0,28,HO,"48,840","47,003",96.24%,"47,003"
,,,,,,,,,,,,
,10/23/2017,LP8,"4,760",6446,2.78,0,28,HO,"50,500","48,600",96.24%,"48,600"
,,,,,,,,,,,,
,10/23/2017,LP8,"4,760",6447,2.78,0,28,HO,"28,020","26,966",96.24%,"26,966"
,,,,,,,,,,,,
,10/23/2017,LP4 B,"4,764",6442,10.5,0,49,EB,"50,280","44,146",87.80%,"40,835"
,,,,,,,,,,,,
,10/23/2017,MP1A,"4,767",6454,3.62,0,36,ST,"51,980","48,648",93.59%,"48,346"
,,,,,,,,,,,,
,10/23/2017,MP1A,"4,767",6459,3.62,0,36,ST,"26,280","24,595",93.59%,"24,443"
,,,,,,,,,,,,
,10/23/2017,MP1B,"4,774",6463,2.87,0,29,ST,"52,180","50,072",95.96%,"50,072"
,,,,,,,,,,,,
,10/23/2017,MP1B,"4,778",6466,11.52,0,31,ST,"51,620","46,656",90.38%,"42,681"
,,,,,,,,,,,,
,10/23/2017,MP1B,"4,779",6467,12.06,0,35,ST,"51,120","48,309",94.50%,"43,932"
,,,,,,,,,,,,
,10/24/2017,MP1B,"4,780",6468,10.48,0,31,ST,"26,600","25,448",95.67%,"23,544"
,,,,,,,,,,,,
,10/24/2017,MP2,"4,785",6473,5.87,0,30,ST,"53,120","50,181",94.47%,"48,741"
,,,,,,,,,,,,
,10/24/2017,MP2,"4,785",6476,5.87,0,30,ST,"51,600","48,745",94.47%,"47,346"
,,,,,,,,,,,,
,10/24/2017,MP2,"4,785",6481,5.87,0,30,ST,"53,060","50,124",94.47%,"48,686"
,,,,,,,,,,,,
,10/24/2017,MP2,"4,785",6483,5.87,0,30,ST,"3,400","3,212",94.47%,"3,120"
,,,,,,,,,,,,
,10/25/2017,Merry2,"4,795",6489,4.18,0,22,HO,"52,380","49,123",93.78%,"48,543"
,,,,,,,,,,,,
,10/25/2017,Merry2,"4,795",6492,4.18,0,22,HO,"52,840","49,554",93.78%,"48,969"
,,,,,,,,,,,,
,10/25/2017,Merry2,"4,796",6490,4,0,26,HO,"50,640","48,151",95.08%,"47,669"
,,,,,,,,,,,,
,10/25/2017,Merry2,"4,801",6496,3.6,0,25,HO,"42,000","39,893",94.98%,"39,654"
,,,,,,,,,,,,
