date,grower,bog,rot,debris,color,kqf_pre,kqf_final,log_rot,variety_coll,year,month,data_source
2013-10-25T00:00:00Z,Ward01,#5,3.17,0,34,1,2,0.502427119984433,HO,2013,10,decas
2013-10-07T00:00:00Z,Reze02,#5A,4.58,0,32,1,2,0.661812685537261,ST,2013,10,decas
2013-10-07T00:00:00Z,Reze02,#5A,4.58,0,32,1,2,0.661812685537261,ST,2013,10,decas
2013-10-12T00:00:00Z,Reze02,#5B,2.31,0,60,1,2,0.3654879848909,HO,2013,10,decas
2013-10-12T00:00:00Z,Reze02,#5B,3.63,0,38,1,2,0.561101383649056,EB,2013,10,decas
2013-10-08T00:00:00Z,Nant01,#6,6.56,0,45,1,2,0.817565369559781,EB,2013,10,decas
2013-10-09T00:00:00Z,Nant01,#6,3.3,0,62,1,2,0.519827993775719,EB,2013,10,decas
2013-10-09T00:00:00Z,Nant01,#6,3.16,0,62,1,2,0.501059262217751,EB,2013,10,decas
2013-10-09T00:00:00Z,Nant01,#6,3.16,0,62,1,2,0.501059262217751,EB,2013,10,decas
2013-09-23T00:00:00Z,Reze02,#6,3.67,0,29,1,2,0.565847818673518,BL,2013,9,decas
2013-09-23T00:00:00Z,Reze02,#6,3.67,0,26,1,2,0.565847818673518,BL,2013,9,decas
2013-09-23T00:00:00Z,Reze02,#6,5,0,29,1,2,0.699837725867246,BL,2013,9,decas
2013-09-23T00:00:00Z,Reze02,#7,3.25,0,29,1,2,0.513217600067939,BL,2013,9,decas
2013-09-24T00:00:00Z,Reze02,#7,3,0,25,1,2,0.478566495593843,BL,2013,9,decas
2013-09-24T00:00:00Z,Reze02,#7,3,0,28,1,2,0.478566495593843,BL,2013,9,decas
2013-10-21T00:00:00Z,Ward01,#7,4.78,0,27,1,2,0.680335513414563,ST,2013,10,decas
2013-10-21T00:00:00Z,Ward01,#7,4.78,0,27,1,2,0.680335513414563,ST,2013,10,decas
2013-09-24T00:00:00Z,Reze02,#8,3.8,0,24,1,2,0.580924975675619,BL,2013,9,decas
2013-09-24T00:00:00Z,Reze02,#8,2,0,24,1,2,0.303196057420489,BL,2013,9,decas
2013-10-08T00:00:00Z,Reze02,#9,5.65,0,26,1,2,0.752816431188272,ST,2013,10,decas
2013-10-12T00:00:00Z,Ashl02,1 S,4.59,0,33,1,2,0.662757831681574,ST,2013,10,decas
2013-10-02T00:00:00Z,Nant01,16c,12.23,0,51,1,2,1.08778141780954,EB,2013,10,decas
2013-10-04T00:00:00Z,Nant01,16c,8.18,0,41,1,2,0.913283901760418,EB,2013,10,decas
2013-10-01T00:00:00Z,Nant01,17b,7.42,0,36,1,2,0.870988813760575,EB,2013,10,decas
2013-10-28T00:00:00Z,Ashl02,3 S,2.95,0,41,1,2,0.471291711058939,ST,2013,10,decas
2013-11-22T00:00:00Z,Russ01,3A,6.18,0,72,1,2,0.791690649020118,HO,2013,11,decas
2013-10-02T00:00:00Z,Pink01,3House,1.4,0,49,1,2,0.14921911265538,EB,2013,10,decas
2013-10-03T00:00:00Z,Pink01,3House,1.4,0,49,1,2,0.14921911265538,EB,2013,10,decas
2013-10-08T00:00:00Z,Bett01,7A,12.44,0,32,1,2,1.09516935143176,ST,2013,10,decas
2013-10-08T00:00:00Z,Bett01,7A,19.73,0,28,1,2,1.29534714833362,ST,2013,10,decas
2013-10-08T00:00:00Z,Bett01,7A,19.73,0,28,1,2,1.29534714833362,ST,2013,10,decas
2013-10-08T00:00:00Z,Bett01,7A,11.22,0,30,1,2,1.05037975626146,ST,2013,10,decas
2013-10-08T00:00:00Z,Bett01,7A,9.98,0,29,1,2,0.999565488225982,ST,2013,10,decas
2013-10-10T00:00:00Z,Lamb01,A,2.38,0,44,1,2,0.378397900948138,other,2013,10,decas
2013-10-10T00:00:00Z,Lamb01,A,2.38,0,44,1,2,0.378397900948138,other,2013,10,decas
2013-10-11T00:00:00Z,Lamb01,A,1.45,0,37,1,2,0.164352855784437,other,2013,10,decas
2013-10-06T00:00:00Z,Krys01,A1,2.82,0,45,1,2,0.45178643552429,EB,2013,10,decas
2013-10-15T00:00:00Z,Norr01,A-1,4.37,0,68,1,2,0.6414741105041,EB,2013,10,decas
2013-10-15T00:00:00Z,Norr01,A-1,4.37,0,68,1,2,0.6414741105041,EB,2013,10,decas
2013-10-19T00:00:00Z,Norr01,A-10,2.83,0,51,1,2,0.453318340047038,EB,2013,10,decas
2013-10-19T00:00:00Z,Norr01,A-11,3.72,0,52,1,2,0.571708831808688,ST,2013,10,decas
2013-10-17T00:00:00Z,Norr01,A-12,1.44,0,56,1,2,0.161368002234975,other,2013,10,decas
2013-10-17T00:00:00Z,Norr01,A-12,4.18,0,57,1,2,0.622214022966295,other,2013,10,decas
2013-10-17T00:00:00Z,Norr01,A-12,4.18,0,57,1,2,0.622214022966295,other,2013,10,decas
2013-10-25T00:00:00Z,Norr01,A-13,0.91,0,63,1,2,-0.0362121726544447,EB,2013,10,decas
2013-10-25T00:00:00Z,Norr01,A-13,1.11,0,69,1,2,0.0492180226701817,EB,2013,10,decas
2013-10-25T00:00:00Z,Norr01,A-13,1.11,0,69,1,2,0.0492180226701817,EB,2013,10,decas
2013-10-06T00:00:00Z,Krys01,A2,1.97,0,45,1,2,0.296665190261531,EB,2013,10,decas
2013-10-06T00:00:00Z,Krys01,A2,1.97,0,45,1,2,0.296665190261531,EB,2013,10,decas
2013-10-07T00:00:00Z,Medi01,A2,0.69,0,44,1,2,-0.154901959985743,EB,2013,10,decas
2013-10-16T00:00:00Z,Norr01,A-2,3.67,0,52,1,2,0.565847818673518,EB,2013,10,decas
2013-10-16T00:00:00Z,Brid01,A3,5.48,0,48,1,2,0.739572344450092,ST,2013,10,decas
2013-10-16T00:00:00Z,Brid01,A3,11.77,0,43,1,2,1.07114529045108,ST,2013,10,decas
2013-10-04T00:00:00Z,Medi01,A3,1.68,0,42,1,2,0.227886704613674,BL,2013,10,decas
2013-10-23T00:00:00Z,Norr01,A-3,3.97,0,49,1,2,0.599883072073688,other,2013,10,decas
2013-10-23T00:00:00Z,Norr01,A-3,3.85,0,44,1,2,0.586587304671755,other,2013,10,decas
2013-10-23T00:00:00Z,Norr01,A-3,1.23,0,50,1,2,0.0934216851622351,other,2013,10,decas
2013-10-23T00:00:00Z,Norr01,A-3,1.23,0,50,1,2,0.0934216851622351,other,2013,10,decas
2013-10-04T00:00:00Z,Medi01,A4,0.98,0,44,1,2,-0.00436480540245009,other,2013,10,decas
2013-10-16T00:00:00Z,Norr01,A-4,2.21,0,44,1,2,0.346352974450639,EB,2013,10,decas
2013-10-04T00:00:00Z,Medi01,A5,1.25,0,29,1,2,0.100370545117563,EB,2013,10,decas
2013-10-07T00:00:00Z,Medi01,A6,0.99,0,32,1,2,0,EB,2013,10,decas
2013-10-07T00:00:00Z,Medi01,A6,0.99,0,32,1,2,0,EB,2013,10,decas
2013-10-18T00:00:00Z,Norr01,A-6,7.48,0,65,1,2,0.874481817699467,EB,2013,10,decas
2013-10-06T00:00:00Z,Krys01,A7,9.83,0,51,1,2,0.992995098431341,BL,2013,10,decas
2013-10-04T00:00:00Z,Medi01,A7,11.3,0,35,1,2,1.05346260492546,ST,2013,10,decas
2013-10-18T00:00:00Z,Norr01,A-7,4.11,0,60,1,2,0.614897216033135,other,2013,10,decas
2013-10-18T00:00:00Z,Norr01,A-7,3.18,0,72,1,2,0.503790683057181,other,2013,10,decas
2013-10-18T00:00:00Z,Norr01,A-7,3.18,0,72,1,2,0.503790683057181,other,2013,10,decas
2013-10-07T00:00:00Z,Medi01,A8,3.2,0,48,1,2,0.506505032404872,EB,2013,10,decas
2013-10-20T00:00:00Z,Norr01,A8B,3.05,0,42,1,2,0.48572142648158,ST,2013,10,decas
2013-10-20T00:00:00Z,Norr01,A8B,3.05,0,42,1,2,0.48572142648158,ST,2013,10,decas
2013-10-18T00:00:00Z,Medi01,A9,1.24,0,23,1,2,0.0969100130080564,HO,2013,10,decas
2013-10-22T00:00:00Z,Norr01,A-9,2.56,0,21,1,2,0.409933123331295,HO,2013,10,decas
2013-10-22T00:00:00Z,Norr01,A-9,1.57,0,22,1,2,0.198657086954423,HO,2013,10,decas
2013-10-22T00:00:00Z,Norr01,A-9,1.57,0,22,1,2,0.198657086954423,HO,2013,10,decas
2013-10-20T00:00:00Z,Rich01,Acush2,1.93,0,28,1,2,0.287801729930226,HO,2013,10,decas
2013-10-20T00:00:00Z,Rich01,Acush2,0.25,0,34,1,2,-0.585026652029182,HO,2013,10,decas
2013-10-21T00:00:00Z,Rich01,Acush2,2.07,0,41,1,2,0.318063334962761,ST,2013,10,decas
2013-10-21T00:00:00Z,Rich01,Acush2,6.21,0,38,1,2,0.793790384690819,ST,2013,10,decas
2013-10-24T00:00:00Z,Mere01,Adrein,1.71,0,41,1,2,0.235528446907549,ST,2013,10,decas
2013-10-24T00:00:00Z,Mere01,Adrein,3.34,0,31,1,2,0.525044807036845,ST,2013,10,decas
2013-10-17T00:00:00Z,Shur02,All,2.19,0,56,1,2,0.342422680822206,other,2013,10,decas
2013-10-17T00:00:00Z,Shur02,All,2.19,0,56,1,2,0.342422680822206,other,2013,10,decas
2013-10-17T00:00:00Z,Shur02,All,0.22,0,48,1,2,-0.638272163982407,other,2013,10,decas
2013-10-17T00:00:00Z,Shur02,All,5.24,0,34,1,2,0.720159303405957,other,2013,10,decas
2013-10-17T00:00:00Z,Shur02,All,2.71,0,44,1,2,0.434568904034199,other,2013,10,decas
2013-10-18T00:00:00Z,Shur02,All,9.06,0,57,1,2,0.957607287060095,other,2013,10,decas
2013-10-19T00:00:00Z,Shur02,All,3.23,0,40,1,2,0.510545010206612,other,2013,10,decas
2013-10-19T00:00:00Z,Shur02,All,3.23,0,40,1,2,0.510545010206612,other,2013,10,decas
2013-10-19T00:00:00Z,Shur02,All,3.23,0,40,1,2,0.510545010206612,other,2013,10,decas
2013-10-19T00:00:00Z,Shur02,All,3.23,0,40,1,2,0.510545010206612,other,2013,10,decas
2013-10-19T00:00:00Z,Shur02,All,3.23,0,40,1,2,0.510545010206612,other,2013,10,decas
2013-10-20T00:00:00Z,Shur02,All,1.48,0,32,1,2,0.173186268412274,other,2013,10,decas
2013-10-21T00:00:00Z,Shur02,All,0.68,0,41,1,2,-0.161150909262745,other,2013,10,decas
2013-10-21T00:00:00Z,Shur02,All,0.25,0,36,1,2,-0.585026652029182,other,2013,10,decas
2013-10-21T00:00:00Z,Shur02,All,1.94,0,52,1,2,0.290034611362518,other,2013,10,decas
2013-10-21T00:00:00Z,Shur02,All,2.13,0,23,1,2,0.330413773349191,other,2013,10,decas
2013-10-22T00:00:00Z,Shur02,All,1.66,0,28,1,2,0.222716471147583,other,2013,10,decas
2013-10-23T00:00:00Z,Shur02,All,1.23,0,53,1,2,0.0934216851622351,HO,2013,10,decas
2013-10-23T00:00:00Z,Shur02,All,0.73,0,33,1,2,-0.130768280269024,HO,2013,10,decas
2013-10-23T00:00:00Z,Shur02,All,1.34,0,34,1,2,0.130333768495006,HO,2013,10,decas
2013-10-12T00:00:00Z,Cham01,Asnet,9,0,30,1,2,0.954724790979063,ST,2013,10,decas
2013-10-15T00:00:00Z,Cham01,Asnet,6.3,0,43,1,2,0.800029359244134,ST,2013,10,decas
2013-10-14T00:00:00Z,Lamb01,B,4.39,0,24,1,2,0.643452676486187,other,2013,10,decas
2013-10-12T00:00:00Z,Norr01,B-0,3.03,0,66,1,2,0.482873583608754,ST,2013,10,decas
2013-10-03T00:00:00Z,Hamb03,B1,2.47,0,26,1,2,0.394451680826216,ST,2013,10,decas
2013-10-12T00:00:00Z,Norr01,B-1,13.1,0,53,1,2,1.11760269169008,ST,2013,10,decas
2013-10-12T00:00:00Z,Norr01,B-1,13.1,0,53,1,2,1.11760269169008,ST,2013,10,decas
2013-10-02T00:00:00Z,Hamb03,B2,1.73,0,49,1,2,0.2405492482826,EB,2013,10,decas
2013-10-02T00:00:00Z,Hamb03,B2,1.73,0,49,1,2,0.2405492482826,EB,2013,10,decas
2013-10-03T00:00:00Z,Hamb03,B2,1.15,0,57,1,2,0.0644579892269185,EB,2013,10,decas
2013-10-11T00:00:00Z,Norr01,B-2,6.53,0,25,1,2,0.815577748324267,ST,2013,10,decas
2013-10-12T00:00:00Z,Norr01,B-2,11.09,0,66,1,2,1.04532297878666,other,2013,10,decas
2013-10-25T00:00:00Z,Hamb03,B3,0.76,0,29,1,2,-0.113509274827518,HO,2013,10,decas
