"","grower_id","date","bog","rot","debris","color","variety","kqf_pre","kqf_final"
"219","Rich01","10/20/2013","Acush2",0.25,0,34,"HO",1,2
"220","Rich01","10/21/2013","Acush2",2.07,0,41,"ST",1,2
"221","Rich01","10/21/2013","Acush2",6.21,0,38,"ST",1,2
"222","Mere01","10/24/2013","Adrein",1.71,0,41,"ST",1,2
"223","Mere01","10/24/2013","Adrein",3.34,0,31,"ST",1,2
"224","Shur02","10/17/2013","All",2.19,0,56,"MX",1,2
"225","Shur02","10/17/2013","All",2.19,0,56,"MX",1,2
"226","Shur02","10/17/2013","All",0.22,0,48,"MX",1,2
"227","Shur02","10/17/2013","All",5.24,0,34,"MX",1,2
"228","Shur02","10/17/2013","All",2.71,0,44,"MX",1,2
"229","Shur02","10/18/2013","All",9.06,0,57,"MX",1,2
"230","Shur02","10/19/2013","All",3.23,0,40,"MX",1,2
"231","Shur02","10/19/2013","All",3.23,0,40,"MX",1,2
"232","Shur02","10/19/2013","All",3.23,0,40,"MX",1,2
"233","Shur02","10/19/2013","All",3.23,0,40,"MX",1,2
"234","Shur02","10/19/2013","All",3.23,0,40,"MX",1,2
"235","Shur02","10/20/2013","All",1.48,0,32,"MX",1,2
"236","Shur02","10/21/2013","All",0.68,0,41,"MX",1,2
"237","Shur02","10/21/2013","All",0.25,0,36,"MX",1,2
"238","Shur02","10/21/2013","All",1.94,0,52,"MX",1,2
"239","Shur02","10/21/2013","All",2.13,0,23,"MX",1,2
"240","Shur02","10/22/2013","All",1.66,0,28,"MX",1,2
"241","Shur02","10/23/2013","All",1.23,0,53,"HO",1,2
"242","Shur02","10/23/2013","All",0.73,0,33,"HO",1,2
"243","Shur02","10/23/2013","All",1.34,0,34,"HO",1,2
"244","Cham01","10/12/2013","Asnet",9,0,30,"ST",1,2
"245","Cham01","10/15/2013","Asnet",6.3,0,43,"ST",1,2
"246","Lamb01","10/14/2013","B",4.39,0,24,"OS",1,2
"247","Norr01","10/12/2013","B-0",3.03,0,66,"ST",1,2
"248","Hamb03","10/3/2013","B1",2.47,0,26,"ST",1,2
"249","Norr01","10/12/2013","B-1",13.1,0,53,"ST",1,2
"250","Norr01","10/12/2013","B-1",13.1,0,53,"ST",1,2
"251","Hamb03","10/2/2013","B2",1.73,0,49,"EB",1,2
"252","Hamb03","10/2/2013","B2",1.73,0,49,"EB",1,2
"253","Hamb03","10/3/2013","B2",1.15,0,57,"EB",1,2
"254","Norr01","10/11/2013","B-2",6.53,0,25,"ST",1,2
"255","Norr01","10/12/2013","B-2",11.09,0,66,"MX",1,2
"256","Hamb03","10/25/2013","B3",0.76,0,29,"HO",1,2
"257","Hamb03","10/25/2013","B3",0.76,0,29,"HO",1,2
"258","Hamb03","10/2/2013","B3",2.94,0,38,"EB",1,2
"259","Norr01","10/11/2013","B-3",3.46,0,49,"ST",1,2
"260","Norr01","10/11/2013","B-3",2.58,0,37,"ST",1,2
"261","Norr01","10/11/2013","B-3",2.6,0,56,"ST",1,2
"262","Hamb03","10/24/2013","B4",5.22,0,32,"ST",1,2
"263","Hamb03","10/25/2013","B4",7.07,0,36,"ST",1,2
"264","Hamb03","10/3/2013","B4",0.9,0,41,"BL",1,2
"265","Norr01","10/10/2013","B-4",7.7,0,38,"ST",1,2
"266","Norr01","10/10/2013","B-4",4.76,0,23,"ST",1,2
"267","Hamb03","10/24/2013","B5",3.34,0,41,"ST",1,2
"268","Hamb03","10/24/2013","B5",3.34,0,41,"ST",1,2
"269","Norr01","10/10/2013","B-5",14.28,0,30,"ST",1,2
"270","Norr01","10/10/2013","B-5",14.28,0,30,"ST",1,2
"271","Hamb03","10/3/2013","B5a",3.2,0,35,"BL",1,2
"272","Hamb03","10/23/2013","B6",1.6,0,33,"ST",1,2
"273","Hamb03","10/23/2013","B6",0.72,0,45,"ST",1,2
"274","Hamb03","10/23/2013","B7",4.94,0,38,"ST",1,2
"275","Hamb03","10/23/2013","B7",4.94,0,38,"ST",1,2
"276","Hamb03","10/24/2013","B7",4.94,0,38,"ST",1,2
"277","Hamb03","10/23/2013","B8",6.42,0,33,"ST",1,2
"278","Hamb03","10/23/2013","B8",6.42,0,33,"ST",1,2
"279","Bapt02","10/10/2013","BAPTIS",1.94,0,40,"MX",1,2
"280","Mors01","10/1/2013","BIG",3.38,0,25,"EB",1,2
"281","Mere01","10/24/2013","BigBog",2.82,0,42,"MX",1,2
