date,grower_id,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL.1,Pack Out %,kqf_pre,kqf_final,Lot Pack Out,Useable w3% allow,"Useable 
w 3 % Allow",GTLID,BogID,# Totes,"Ave Bin 
Wgt.",NetWeight
2012-09-28,Pett02,#4,"1,104",1351,,,,BL,11360,94.56%,,,,,,,,,,
2012-09-28,Pime01,house,"1,098",1345,,,,EB,15600,94.01%,,,,,,,,,,
2012-09-29,Bett01,3,"1,116",1364,,,,ST,52100,89.11%,,,,,,,,,,
2012-09-29,Bett01,3,"1,116",1369,,,,ST,39440,89.11%,,,,,,,,,,
2012-09-29,Bett01,3,"1,116",1371,,,,ST,6200,89.11%,,,,,,,,,,
2012-09-29,Bott05,1,"1,109",1356,,,,EB,46980,93.85%,,,,,,,,,,
2012-09-29,Bott05,1,"1,113",1361,,,,EB,46760,96.51%,,,,,,,,,,
2012-09-29,Bott05,1,"1,118",1367,,,,EB,49120,93.88%,,,,,,,,,,
2012-09-29,Bott05,1,"1,118",1370,,,,EB,16820,93.88%,,,,,,,,,,
2012-09-29,Deca01,MP2,"1,108",1355,,,,ST,53260,94.57%,,,,,,,,,,
2012-09-29,Deca01,MP2,"1,108",1358,,,,ST,21220,94.57%,,,,,,,,,,
2012-09-29,Deca03,ZPD,"1,106",1353,,,,PD,8860,98.48%,,,,,,,,,,
2012-09-29,Deca03,ZPD,"1,111",1359,,,,PD,6440,95.89%,,,,,,,,,,
2012-09-29,Deca03,ZPD,"1,115",1363,,,,PD,4300,98.84%,,,,,,,,,,
2012-09-29,Deca03,ZPD,"1,115",1375,,,,PD,8820,98.84%,,,,,,,,,,
2012-09-29,Nant01,#16B,"1,107",1354,,,,EB,40540,90.93%,,,,,,,,,,
2012-09-29,Nant01,#16B,"1,120",1374,,,,EB,39500,83.17%,,,,,,,,,,
2012-09-29,Padu01,Rock#5,"1,110",1357,,,,EB,16000,92.31%,,,,,,,,,,
2012-09-29,Padu01,Rock#5,"1,112",1360,,,,EB,15340,90.87%,,,,,,,,,,
2012-09-29,Padu01,Rock#5,"1,117",1365,,,,EB,7980,89.56%,,,,,,,,,,
2012-09-29,Reze01,Lyon 2,"1,114",1362,,,,ST,28900,90.80%,,,,,,,,,,
2012-09-29,Reze01,Lyon 2,"1,114",1366,,,,ST,28080,90.80%,,,,,,,,,,
2012-09-29,Reze01,Lyon 2,"1,114",1368,,,,ST,28980,90.80%,,,,,,,,,,
2012-09-29,Reze01,Lyon 2,"1,114",1372,,,,ST,29120,90.80%,,,,,,,,,,
2012-09-29,Reze01,Lyon 2,"1,119",1373,,,,ST,11440,88.37%,,,,,,,,,,
2012-10-01,Bett01,7A,"1,133",1393,,,,ST,52120,96.03%,,,,,,,,,,
2012-10-01,Bett01,7A,"1,133",1395,,,,ST,38860,96.03%,,,,,,,,,,
2012-10-01,Bett01,7A,"1,138",1403,,,,ST,50440,96.18%,,,,,,,,,,
